Start Time,Duration (sec),Fixture,"Flow Rate Hot & Cold (gpm)","Flow Rate Hot Only (gpm)","Flow Rate Cold Only (gpm)"
1/5 1:10:24 PM,24,Kitchen Sink,0.696,0.590,0.106
1/5 1:12:18 PM,6,Kitchen Sink,0.084,0.071,0.013
1/5 1:14:18 PM,42,Kitchen Sink,0.535,0.454,0.081
1/5 2:33:24 PM,90,CW,1.949,1.949,0.000
1/5 3:29:48 PM,18,Sink 4,0.722,0.612,0.110
1/5 3:38:42 PM,6,Kitchen Sink,0.797,0.676,0.121
1/5 3:58:06 PM,30,Kitchen Sink,1.39,1.179,0.211
1/5 4:46:24 PM,6,Sink 4,0.487,0.413,0.074
1/5 4:48:18 PM,30,Kitchen Sink,0.169,0.143,0.026
1/5 4:50:12 PM,18,Kitchen Sink,0.449,0.381,0.068
1/5 5:08:42 PM,12,Kitchen Sink,0.048,0.041,0.007
1/5 5:10:36 PM,6,Sink 2,0.353,0.299,0.054
1/5 6:21:42 PM,66,CW,1.589,1.589,0.000
1/5 6:37:54 PM,12,Kitchen Sink,1.691,1.434,0.257
1/5 6:39:48 PM,6,Sink 4,1.363,1.156,0.207
1/5 6:41:42 PM,36,Kitchen Sink,0.048,0.041,0.007
1/5 7:03:18 PM,6,Sink 4,0.027,0.023,0.004
1/5 7:05:12 PM,126,Kitchen Sink,1.463,1.241,0.222
1/5 7:07:12 PM,48,Kitchen Sink,0.134,0.114,0.020
1/5 7:33:24 PM,126,Kitchen Sink,1.316,1.116,0.200
1/5 7:35:18 PM,12,Sink 3,0.118,0.100,0.018
1/5 9:10:24 PM,324,Bath 1,5.484,4.652,0.832
1/5 9:34:24 PM,78,Kitchen Sink,0.706,0.599,0.107
1/5 10:36:36 PM,30,Kitchen Sink,1.543,1.309,0.234
1/5 11:29:42 PM,30,Kitchen Sink,1.621,1.375,0.246
1/6 12:24:36 AM,102,Kitchen Sink,0.207,0.176,0.031
1/6 12:26:36 AM,18,Sink 2,1.173,0.995,0.178
1/6 12:28:30 AM,24,Sink 2,0.537,0.456,0.081
1/6 12:30:24 AM,12,Kitchen Sink,0.583,0.495,0.088
1/6 4:00:48 AM,78,DW1,1.238,1.238,0.000
1/6 4:02:12 AM,144,Kitchen Sink,1.6,1.357,0.243
1/6 4:04:06 AM,54,Kitchen Sink,0.9,0.764,0.136
1/6 4:10:30 AM,66,DW1,1.172,1.172,0.000
1/6 4:20:18 AM,96,DW1,1.271,1.271,0.000
1/6 4:30:06 AM,126,DW1,1.664,1.664,0.000
1/6 4:39:54 AM,84,DW1,1.629,1.629,0.000
1/6 5:55:30 AM,54,Kitchen Sink,0.659,0.559,0.100
1/6 5:57:24 AM,6,Kitchen Sink,0.607,0.515,0.092
1/6 5:59:24 AM,18,Kitchen Sink,0.849,0.720,0.129
1/6 6:01:18 AM,60,Kitchen Sink,1.168,0.991,0.177
1/6 6:03:12 AM,6,Sink 2,0.793,0.673,0.120
1/6 6:05:12 AM,42,Sink 2,2.003,1.699,0.304
1/6 6:07:06 AM,126,Kitchen Sink,0.05,0.042,0.008
1/6 6:18:30 AM,30,Kitchen Sink,0.627,0.532,0.095
1/6 6:20:30 AM,24,Kitchen Sink,0.845,0.717,0.128
1/6 6:22:24 AM,48,Kitchen Sink,0.688,0.584,0.104
1/6 6:24:18 AM,24,Kitchen Sink,1.663,1.411,0.252
1/6 7:02:54 AM,6,Kitchen Sink,1.305,1.107,0.198
1/6 7:14:42 AM,108,Sink 2,0.736,0.624,0.112
1/6 7:17:24 AM,156,Kitchen Sink,0.965,0.819,0.146
1/6 7:19:24 AM,150,Kitchen Sink,1.524,1.293,0.231
1/6 7:37:24 AM,12,Kitchen Sink,1.096,0.930,0.166
1/6 8:22:30 AM,60,Kitchen Sink,0.839,0.712,0.127
1/6 8:27:30 AM,126,Kitchen Sink,1.462,1.240,0.222
1/6 8:31:18 AM,6,Kitchen Sink,1.6,1.357,0.243
1/6 8:33:12 AM,30,Kitchen Sink,1.251,1.061,0.190
1/6 8:35:06 AM,54,Kitchen Sink,1.101,0.934,0.167
1/6 9:32:30 AM,24,Sink 3,1.57,1.332,0.238
1/6 9:59:54 AM,48,Kitchen Sink,0.813,0.690,0.123
1/6 10:01:54 AM,6,Kitchen Sink,0.182,0.154,0.028
1/6 10:43:54 AM,24,Kitchen Sink,1.584,1.344,0.240
1/6 11:24:48 AM,24,Sink 4,1.452,1.232,0.220
1/6 11:28:00 AM,12,Kitchen Sink,1.025,0.870,0.155
1/6 11:30:00 AM,18,Sink 3,0.782,0.663,0.119
1/6 11:48:00 AM,78,Kitchen Sink,1.389,1.178,0.211
1/6 12:11:18 PM,444,Bath 1,3.44,2.919,0.521
1/6 1:03:54 PM,24,Kitchen Sink,0.94,0.798,0.142
1/6 1:10:36 PM,24,Sink 4,1.067,0.905,0.162
1/6 2:09:48 PM,30,Kitchen Sink,0.338,0.287,0.051
1/6 2:32:24 PM,6,Kitchen Sink,0.283,0.240,0.043
1/6 3:58:30 PM,30,Kitchen Sink,1.539,1.306,0.233
1/6 4:59:12 PM,6,Kitchen Sink,0.48,0.407,0.073
1/6 5:49:06 PM,18,Kitchen Sink,1.287,1.092,0.195
1/6 5:49:12 PM,78,Kitchen Sink,0.951,0.807,0.144
1/6 5:51:00 PM,6,Kitchen Sink,0.02,0.017,0.003
1/6 5:51:06 PM,24,Kitchen Sink,0.79,0.670,0.120
1/6 6:53:30 PM,78,DW1,1.401,1.401,0.000
1/6 7:03:18 PM,78,DW1,1.215,1.215,0.000
1/6 7:04:24 PM,78,Sink 2,0.051,0.043,0.008
1/6 7:13:00 PM,60,DW1,1.595,1.595,0.000
1/6 7:22:48 PM,72,DW1,1.18,1.180,0.000
1/6 7:32:36 PM,114,DW1,1.575,1.575,0.000
1/6 7:39:12 PM,42,CW,2.267,2.267,0.000
1/6 7:42:24 PM,126,DW1,1.518,1.518,0.000
1/6 8:45:12 PM,12,Sink 2,0.363,0.308,0.055
1/6 8:46:24 PM,78,Kitchen Sink,1.456,1.235,0.221
1/6 8:51:30 PM,60,Kitchen Sink,0.913,0.775,0.138
1/6 9:39:00 PM,18,Kitchen Sink,0.798,0.677,0.121
1/6 9:41:00 PM,54,Kitchen Sink,1.641,1.392,0.249
1/6 9:56:30 PM,30,Kitchen Sink,0.637,0.540,0.097
1/6 10:51:36 PM,6,Kitchen Sink,0.065,0.055,0.010
1/6 10:53:36 PM,72,Kitchen Sink,0.052,0.044,0.008
1/7 3:44:06 AM,6,Kitchen Sink,0.267,0.227,0.040
1/7 7:26:06 AM,6,Sink 3,0.046,0.039,0.007
1/7 7:45:54 AM,66,Kitchen Sink,1.258,1.068,0.190
1/7 7:46:00 AM,6,Kitchen Sink,0.967,0.821,0.146
1/7 8:08:42 AM,468,Bath 1,3.491,2.962,0.529
1/7 8:55:54 AM,18,Sink 2,0.597,0.507,0.090
1/7 9:22:30 AM,6,CW,1.081,1.081,0.000
1/7 10:11:18 AM,30,Kitchen Sink,0.423,0.359,0.064
1/7 10:13:12 AM,48,Kitchen Sink,1.232,1.045,0.187
1/7 10:19:18 AM,12,Kitchen Sink,0.853,0.724,0.129
1/7 10:55:18 AM,6,Sink 3,0.319,0.271,0.048
1/7 11:05:54 AM,12,Kitchen Sink,1.663,1.411,0.252
1/7 11:47:00 AM,24,Sink 4,0.659,0.559,0.100
1/7 11:49:00 AM,6,Kitchen Sink,0.4,0.339,0.061
1/7 11:49:00 AM,60,Kitchen Sink,2.005,1.701,0.304
1/7 12:24:24 PM,6,Sink 2,1.598,1.356,0.242
1/7 12:26:24 PM,12,Sink 3,1.745,1.481,0.264
1/7 12:28:18 PM,12,Kitchen Sink,2.203,1.869,0.334
1/7 2:40:36 PM,24,Kitchen Sink,1.363,1.157,0.206
1/7 2:52:06 PM,6,CW,2.257,2.257,0.000
1/7 2:57:00 PM,78,CW,1.067,1.067,0.000
1/7 4:06:18 PM,6,CW,2.84,2.840,0.000
1/7 4:11:18 PM,66,CW,1.392,1.392,0.000
1/7 4:58:48 PM,192,Kitchen Sink,1.087,0.922,0.165
1/7 5:08:12 PM,6,Kitchen Sink,0.024,0.020,0.004
1/7 6:37:48 PM,102,Kitchen Sink,1.497,1.270,0.227
1/7 6:52:18 PM,12,Kitchen Sink,1.9,1.612,0.288
1/7 6:54:12 PM,6,Sink 3,0.27,0.229,0.041
1/7 6:56:12 PM,6,Kitchen Sink,1.122,0.952,0.170
1/7 6:58:06 PM,6,Kitchen Sink,0.312,0.265,0.047
1/7 8:08:06 PM,18,Sink 2,1.01,0.857,0.153
1/7 8:10:00 PM,18,Kitchen Sink,0.429,0.364,0.065
1/7 8:12:00 PM,60,Sink 2,1.356,1.151,0.205
1/7 8:13:54 PM,66,Kitchen Sink,0.718,0.609,0.109
1/7 10:34:18 PM,30,Kitchen Sink,1.066,0.905,0.161
1/7 10:36:12 PM,6,Kitchen Sink,0.102,0.087,0.015
1/8 1:20:54 AM,6,Kitchen Sink,0.04,0.034,0.006
1/8 3:49:06 AM,6,Sink 3,0.962,0.816,0.146
1/8 4:59:00 AM,18,Kitchen Sink,1.848,1.568,0.280
1/8 5:00:54 AM,84,Kitchen Sink,1.015,0.861,0.154
1/8 7:54:42 AM,78,Kitchen Sink,1.136,0.964,0.172
1/8 8:01:42 AM,18,Kitchen Sink,2.407,2.043,0.364
1/8 9:11:24 AM,102,Sink 2,1.394,1.183,0.211
1/8 9:13:24 AM,6,Kitchen Sink,0.145,0.123,0.022
1/8 9:15:18 AM,30,Sink 4,0.046,0.039,0.007
1/8 9:25:12 AM,48,Sink 4,0.585,0.497,0.088
1/8 10:16:06 AM,54,Kitchen Sink,0.746,0.633,0.113
1/8 10:18:00 AM,12,Kitchen Sink,1.546,1.312,0.234
1/8 10:19:54 AM,12,Kitchen Sink,0.865,0.734,0.131
1/8 11:27:06 AM,126,Kitchen Sink,0.979,0.831,0.148
1/8 11:28:30 AM,60,CW,2.15,2.150,0.000
1/8 11:29:00 AM,6,Kitchen Sink,0.56,0.475,0.085
1/8 11:31:00 AM,30,Kitchen Sink,2.048,1.738,0.310
1/8 12:51:42 PM,18,Sink 3,1.448,1.229,0.219
1/8 12:53:36 PM,72,Kitchen Sink,1.072,0.910,0.162
1/8 1:14:24 PM,60,Kitchen Sink,1.222,1.037,0.185
1/8 2:20:18 PM,24,Sink 3,0.6,0.509,0.091
1/8 5:06:36 PM,12,Sink 4,1.386,1.176,0.210
1/8 5:08:30 PM,48,Sink 2,1.548,1.314,0.234
1/8 5:23:54 PM,6,Sink 4,0.268,0.227,0.041
1/8 5:25:48 PM,42,Kitchen Sink,0.794,0.674,0.120
1/8 5:27:42 PM,6,Kitchen Sink,0.04,0.034,0.006
1/8 5:29:42 PM,192,Sink 4,1.068,0.906,0.162
1/8 5:31:36 PM,144,Kitchen Sink,1.542,1.309,0.233
1/8 5:40:54 PM,36,Kitchen Sink,1.243,1.055,0.188
1/8 5:42:48 PM,30,Sink 3,0.451,0.383,0.068
1/8 5:52:18 PM,96,Sink 3,1.049,0.890,0.159
1/8 6:16:24 PM,456,Bath 2,5.365,4.553,0.812
1/8 6:39:30 PM,138,Kitchen Sink,1.114,0.945,0.169
1/8 6:51:24 PM,144,CW,1.438,1.438,0.000
1/8 7:55:18 PM,6,Kitchen Sink,2.403,2.039,0.364
1/8 7:57:36 PM,18,Sink 3,1.335,1.133,0.202
1/8 8:56:12 PM,18,Kitchen Sink,0.918,0.779,0.139
1/8 9:35:36 PM,48,Sink 3,0.274,0.233,0.041
1/8 9:43:36 PM,6,Sink 2,0.332,0.282,0.050
1/8 9:45:36 PM,6,Kitchen Sink,0.498,0.423,0.075
1/9 4:57:36 AM,144,Kitchen Sink,0.05,0.042,0.008
1/9 5:31:54 AM,84,DW1,1.301,1.301,0.000
1/9 5:41:42 AM,78,DW1,1.319,1.319,0.000
1/9 5:51:30 AM,78,DW1,1.515,1.515,0.000
1/9 6:01:18 AM,84,DW1,1.506,1.506,0.000
1/9 6:11:00 AM,66,DW1,1.172,1.172,0.000
1/9 6:20:48 AM,96,DW1,1.68,1.680,0.000
1/9 7:13:42 AM,36,Sink 2,2.088,1.772,0.316
1/9 7:31:30 AM,54,Sink 3,0.885,0.751,0.134
1/9 7:33:24 AM,6,Kitchen Sink,0.891,0.756,0.135
1/9 7:52:42 AM,30,Kitchen Sink,1.822,1.547,0.275
1/9 8:09:36 AM,42,CW,2.71,2.710,0.000
1/9 8:14:36 AM,72,CW,2.218,2.218,0.000
1/9 8:19:30 AM,54,CW,1.259,1.259,0.000
1/9 8:24:30 AM,72,CW,2.097,2.097,0.000
1/9 9:04:30 AM,6,Kitchen Sink,1.633,1.386,0.247
1/9 9:06:24 AM,96,Kitchen Sink,0.704,0.598,0.106
1/9 9:20:18 AM,150,Kitchen Sink,1.172,0.995,0.177
1/9 9:22:12 AM,30,Kitchen Sink,1.168,0.991,0.177
1/9 9:22:12 AM,6,Kitchen Sink,0.782,0.664,0.118
1/9 9:51:00 AM,72,Kitchen Sink,0.631,0.536,0.095
1/9 9:52:54 AM,6,Kitchen Sink,0.014,0.012,0.002
1/9 10:25:18 AM,60,DW1,1.438,1.438,0.000
1/9 10:35:06 AM,120,DW1,1.171,1.171,0.000
1/9 10:44:54 AM,114,DW1,1.44,1.440,0.000
1/9 10:54:42 AM,72,DW1,1.442,1.442,0.000
1/9 11:00:24 AM,36,Sink 2,1.504,1.277,0.227
1/9 11:02:18 AM,24,Kitchen Sink,0.833,0.707,0.126
1/9 11:04:30 AM,102,DW1,1.108,1.108,0.000
1/9 1:20:48 PM,12,Kitchen Sink,1.448,1.229,0.219
1/9 1:22:42 PM,12,Kitchen Sink,1.142,0.969,0.173
1/9 1:42:00 PM,12,Sink 4,1.443,1.225,0.218
1/9 2:54:12 PM,6,Kitchen Sink,1.297,1.101,0.196
1/9 3:19:00 PM,54,Kitchen Sink,1.766,1.499,0.267
1/9 3:20:54 PM,6,Sink 2,0.381,0.323,0.058
1/9 4:13:06 PM,30,Sink 3,1.588,1.348,0.240
1/9 5:45:36 PM,6,Sink 2,1.338,1.136,0.202
1/9 6:23:42 PM,84,CW,2.71,2.710,0.000
1/9 7:37:54 PM,6,CW,2.878,2.878,0.000
1/9 8:24:48 PM,6,Sink 4,0.622,0.528,0.094
1/9 8:57:24 PM,36,Kitchen Sink,1.1,0.934,0.166
1/9 9:40:18 PM,36,Kitchen Sink,0.977,0.829,0.148
1/9 10:40:24 PM,84,Kitchen Sink,1.427,1.211,0.216
1/9 10:42:24 PM,66,Sink 4,1.008,0.856,0.152
1/9 10:49:12 PM,174,Bath 1,4.677,3.970,0.707
1/10 12:16:54 AM,18,Kitchen Sink,1.861,1.580,0.281
1/10 12:18:54 AM,6,Kitchen Sink,2.028,1.722,0.306
1/10 12:20:48 AM,60,Kitchen Sink,0.05,0.042,0.008
1/10 12:22:42 AM,78,Kitchen Sink,2.199,1.867,0.332
1/10 2:28:24 AM,6,Kitchen Sink,0.555,0.471,0.084
1/10 2:30:24 AM,12,Sink 2,0.843,0.716,0.127
1/10 6:34:18 AM,66,Sink 3,1.179,1.001,0.178
1/10 6:36:12 AM,24,Kitchen Sink,0.962,0.817,0.145
1/10 6:38:06 AM,138,Sink 3,1.437,1.220,0.217
1/10 6:40:00 AM,6,Kitchen Sink,0.998,0.847,0.151
1/10 7:26:30 AM,36,Kitchen Sink,1.414,1.201,0.213
1/10 8:09:24 AM,12,Kitchen Sink,0.884,0.751,0.133
1/10 8:11:18 AM,12,Sink 2,1.005,0.853,0.152
1/10 8:13:18 AM,42,Kitchen Sink,0.456,0.387,0.069
1/10 8:33:18 AM,30,Kitchen Sink,1.396,1.185,0.211
1/10 8:35:18 AM,108,Kitchen Sink,0.371,0.315,0.056
1/10 8:37:12 AM,12,Kitchen Sink,1.52,1.290,0.230
1/10 8:39:06 AM,30,Sink 3,1.121,0.952,0.169
1/10 9:33:36 AM,72,Sink 2,1.907,1.619,0.288
1/10 9:35:30 AM,12,Sink 4,1.9,1.613,0.287
1/10 9:37:30 AM,6,Kitchen Sink,0.431,0.366,0.065
1/10 9:59:48 AM,12,Sink 2,0.044,0.037,0.007
1/10 10:37:00 AM,24,CW,1.945,1.945,0.000
1/10 11:25:00 AM,60,Kitchen Sink,1.515,1.286,0.229
1/10 11:51:12 AM,54,CW,2.804,2.804,0.000
1/10 12:13:54 PM,246,Shower 1,1.454,1.234,0.220
1/10 12:33:42 PM,18,Kitchen Sink,0.795,0.675,0.120
1/10 1:05:30 PM,12,CW,2.398,2.398,0.000
1/10 1:30:48 PM,12,Kitchen Sink,0.315,0.267,0.048
1/10 2:12:12 PM,6,Kitchen Sink,0.229,0.194,0.035
1/10 2:14:12 PM,66,Sink 3,0.714,0.606,0.108
1/10 2:16:06 PM,6,Kitchen Sink,0.29,0.246,0.044
1/10 3:43:06 PM,6,Sink 2,0.354,0.301,0.053
1/10 4:05:48 PM,96,Kitchen Sink,0.05,0.042,0.008
1/10 4:07:48 PM,60,Kitchen Sink,1.004,0.852,0.152
1/10 4:09:42 PM,6,Sink 2,1.56,1.324,0.236
1/10 4:11:36 PM,48,Kitchen Sink,0.839,0.712,0.127
1/10 4:40:24 PM,6,Kitchen Sink,0.077,0.065,0.012
1/10 5:21:24 PM,126,Sink 3,0.05,0.042,0.008
1/10 5:32:36 PM,24,Sink 2,1.088,0.924,0.164
1/10 5:35:36 PM,36,Kitchen Sink,0.404,0.343,0.061
1/10 7:05:00 PM,78,Sink 3,1.689,1.434,0.255
1/10 8:08:18 PM,102,DW1,1.43,1.430,0.000
1/10 8:18:06 PM,132,DW1,1.481,1.481,0.000
1/10 8:27:48 PM,90,DW1,1.539,1.539,0.000
1/10 8:37:36 PM,96,DW1,1.314,1.314,0.000
1/10 9:09:18 PM,48,Sink 3,0.193,0.164,0.029
1/10 9:12:54 PM,6,Kitchen Sink,0.338,0.287,0.051
1/10 10:18:36 PM,318,Shower 2,1.161,0.986,0.175
1/10 11:57:06 PM,30,Kitchen Sink,1.098,0.932,0.166
1/11 5:05:42 AM,6,Sink 3,1.541,1.309,0.232
1/11 5:08:36 AM,288,Shower 1,2.356,2.001,0.355
1/11 6:24:00 AM,60,Sink 3,0.69,0.586,0.104
1/11 6:25:54 AM,6,Kitchen Sink,0.396,0.336,0.060
1/11 6:40:06 AM,186,Kitchen Sink,1.138,0.966,0.172
1/11 6:42:06 AM,12,Sink 2,1.612,1.369,0.243
1/11 6:44:00 AM,6,Sink 4,0.043,0.037,0.006
1/11 6:45:54 AM,24,Kitchen Sink,1.986,1.686,0.300
1/11 8:56:48 AM,6,Sink 4,0.266,0.226,0.040
1/11 9:32:30 AM,72,Kitchen Sink,1.549,1.315,0.234
1/11 9:55:54 AM,6,Sink 2,1.011,0.858,0.153
1/11 9:57:54 AM,30,Sink 3,1.275,1.083,0.192
1/11 9:59:18 AM,30,Kitchen Sink,1.294,1.099,0.195
1/11 9:59:48 AM,42,Kitchen Sink,1.251,1.062,0.189
1/11 10:01:12 AM,18,Sink 4,1.047,0.889,0.158
1/11 10:01:42 AM,132,Kitchen Sink,1.691,1.436,0.255
1/11 10:03:12 AM,60,Kitchen Sink,0.637,0.541,0.096
1/11 10:03:42 AM,24,Sink 2,1.086,0.922,0.164
1/11 10:05:06 AM,84,Kitchen Sink,0.715,0.607,0.108
1/11 10:05:36 AM,78,Kitchen Sink,0.749,0.636,0.113
1/11 10:07:00 AM,60,Sink 4,1.796,1.525,0.271
1/11 10:07:30 AM,12,Kitchen Sink,1.341,1.139,0.202
1/11 10:08:54 AM,66,Kitchen Sink,0.618,0.525,0.093
1/11 10:10:54 AM,42,Sink 2,1.297,1.101,0.196
1/11 10:12:48 AM,48,Kitchen Sink,1.295,1.100,0.195
1/11 10:58:42 AM,54,Sink 2,1.803,1.531,0.272
1/11 11:25:06 AM,48,Kitchen Sink,0.658,0.559,0.099
1/11 11:39:54 AM,102,Kitchen Sink,1.187,1.008,0.179
1/11 1:30:42 PM,6,Sink 3,0.889,0.755,0.134
1/11 1:32:42 PM,66,Kitchen Sink,1.291,1.096,0.195
1/11 1:34:36 PM,36,Kitchen Sink,0.697,0.592,0.105
1/11 1:36:30 PM,12,Kitchen Sink,1.316,1.117,0.199
1/11 1:38:30 PM,12,Sink 2,2.259,1.918,0.341
1/11 1:40:24 PM,6,Sink 2,1.511,1.283,0.228
1/11 1:42:18 PM,12,Kitchen Sink,1.021,0.867,0.154
1/11 1:44:18 PM,30,Kitchen Sink,0.906,0.769,0.137
1/11 1:46:12 PM,30,Sink 2,1.258,1.068,0.190
1/11 1:48:06 PM,6,Kitchen Sink,0.073,0.062,0.011
1/11 1:50:06 PM,114,Sink 3,1.605,1.363,0.242
1/11 1:52:00 PM,24,Kitchen Sink,0.849,0.721,0.128
1/11 1:53:54 PM,12,Kitchen Sink,0.425,0.361,0.064
1/11 2:44:36 PM,126,Kitchen Sink,1.47,1.248,0.222
1/11 2:47:12 PM,54,Kitchen Sink,1.172,0.995,0.177
1/11 2:57:36 PM,48,Kitchen Sink,0.503,0.427,0.076
1/11 4:14:24 PM,18,Kitchen Sink,0.056,0.048,0.008
1/11 5:38:54 PM,12,CW,2.172,2.172,0.000
1/11 6:36:24 PM,24,Kitchen Sink,0.264,0.224,0.040
1/11 6:53:12 PM,84,CW,2.219,2.219,0.000
1/11 7:07:36 PM,6,Kitchen Sink,1.233,1.047,0.186
1/11 7:19:48 PM,72,Kitchen Sink,1.054,0.895,0.159
1/11 7:52:42 PM,78,Kitchen Sink,0.457,0.388,0.069
1/11 8:07:24 PM,66,CW,2.279,2.279,0.000
1/11 8:28:42 PM,6,Sink 3,0.206,0.175,0.031
1/11 9:21:42 PM,114,CW,1.747,1.747,0.000
1/11 10:08:18 PM,30,Sink 4,1.104,0.937,0.167
1/11 10:25:36 PM,30,Kitchen Sink,1.511,1.283,0.228
1/11 10:35:18 PM,12,Kitchen Sink,1.475,1.252,0.223
1/11 10:37:18 PM,60,Kitchen Sink,0.935,0.794,0.141
1/11 10:39:12 PM,84,Sink 4,0.755,0.641,0.114
1/11 10:41:06 PM,24,Sink 4,1.268,1.077,0.191
1/11 10:43:06 PM,6,Kitchen Sink,0.656,0.557,0.099
1/11 10:45:00 PM,12,Kitchen Sink,1.306,1.109,0.197
1/11 10:56:36 PM,102,Sink 3,1.094,0.929,0.165
1/11 11:05:54 PM,6,Kitchen Sink,0.232,0.197,0.035
1/11 11:16:30 PM,36,Kitchen Sink,0.25,0.212,0.038
1/11 11:18:30 PM,6,Sink 4,1.786,1.517,0.269
1/11 11:24:00 PM,66,Sink 3,0.171,0.145,0.026
1/11 11:44:18 PM,36,Kitchen Sink,1.299,1.103,0.196
1/12 12:27:54 AM,24,Kitchen Sink,0.463,0.393,0.070
1/12 12:29:48 AM,24,Sink 4,1.225,1.040,0.185
1/12 12:31:42 AM,6,Kitchen Sink,1.351,1.147,0.204
1/12 12:33:42 AM,6,Sink 4,0.005,0.004,0.001
1/12 12:35:36 AM,12,Sink 4,2.189,1.859,0.330
1/12 12:37:30 AM,132,Kitchen Sink,1.791,1.521,0.270
1/12 7:30:48 AM,54,Sink 2,0.519,0.441,0.078
1/12 7:32:48 AM,6,Kitchen Sink,0.086,0.073,0.013
1/12 7:58:06 AM,6,CW,0.759,0.759,0.000
1/12 8:03:06 AM,24,CW,1.575,1.575,0.000
1/12 8:08:00 AM,30,CW,3.087,3.087,0.000
1/12 8:13:00 AM,72,CW,1.355,1.355,0.000
1/12 8:22:18 AM,72,Kitchen Sink,0.975,0.828,0.147
1/12 9:12:18 AM,18,CW,1.729,1.729,0.000
1/12 9:17:18 AM,90,CW,1.86,1.860,0.000
1/12 9:22:18 AM,48,CW,2.1,2.100,0.000
1/12 9:27:18 AM,30,CW,1.993,1.993,0.000
1/12 10:26:36 AM,84,CW,1.29,1.290,0.000
1/12 10:31:36 AM,48,CW,1.569,1.569,0.000
1/12 10:36:36 AM,90,CW,2.564,2.564,0.000
1/12 10:41:30 AM,132,CW,2.545,2.545,0.000
1/12 10:56:30 AM,36,Sink 2,1.182,1.004,0.178
1/12 11:44:18 AM,6,Kitchen Sink,1.316,1.118,0.198
1/12 12:24:54 PM,66,DW1,1.516,1.516,0.000
1/12 12:34:42 PM,66,DW1,1.256,1.256,0.000
1/12 12:44:30 PM,66,DW1,1.469,1.469,0.000
1/12 12:54:12 PM,90,DW1,1.24,1.240,0.000
1/12 1:04:00 PM,72,DW1,1.28,1.280,0.000
1/12 4:55:36 PM,24,Sink 3,1.57,1.333,0.237
1/12 5:10:54 PM,60,Kitchen Sink,1.509,1.282,0.227
1/12 5:12:48 PM,12,Sink 2,0.564,0.479,0.085
1/12 5:34:12 PM,264,Shower 2,3.815,3.240,0.575
1/12 5:52:54 PM,96,Kitchen Sink,0.459,0.390,0.069
1/12 5:54:48 PM,6,Kitchen Sink,1.037,0.881,0.156
1/12 6:04:48 PM,234,Shower 1,1.679,1.426,0.253
1/12 6:59:30 PM,90,Sink 3,1.517,1.288,0.229
1/12 7:13:54 PM,30,Kitchen Sink,0.742,0.630,0.112
1/12 7:41:36 PM,18,Kitchen Sink,1.888,1.603,0.285
1/12 8:49:30 PM,54,DW1,1.227,1.227,0.000
1/12 8:59:18 PM,48,DW1,1.814,1.814,0.000
1/12 9:09:06 PM,132,DW1,1.218,1.218,0.000
1/12 9:18:54 PM,66,DW1,1.536,1.536,0.000
1/12 9:28:42 PM,60,DW1,1.37,1.370,0.000
1/12 9:38:24 PM,78,DW1,1.257,1.257,0.000
1/12 10:05:18 PM,72,CW,2.596,2.596,0.000
1/12 10:10:18 PM,42,CW,2.283,2.283,0.000
1/12 10:48:42 PM,6,Kitchen Sink,0.194,0.165,0.029
1/12 10:49:00 PM,18,Kitchen Sink,1.297,1.102,0.195
1/12 10:50:42 PM,24,Kitchen Sink,2.152,1.828,0.324
1/12 10:52:36 PM,30,Kitchen Sink,1.493,1.268,0.225
1/12 10:54:30 PM,108,Sink 4,1.116,0.948,0.168
1/12 10:56:30 PM,6,Kitchen Sink,0.225,0.191,0.034
1/12 10:58:24 PM,24,Sink 3,0.769,0.653,0.116
1/12 11:00:18 PM,18,Kitchen Sink,1.761,1.496,0.265
1/12 11:02:18 PM,36,Kitchen Sink,1.081,0.918,0.163
1/12 11:04:12 PM,30,Kitchen Sink,0.532,0.452,0.080
1/13 1:19:48 AM,6,Kitchen Sink,0.039,0.033,0.006
1/13 3:33:54 AM,36,Kitchen Sink,0.754,0.640,0.114
1/13 5:12:24 AM,72,Kitchen Sink,1.086,0.922,0.164
1/13 6:10:36 AM,18,Kitchen Sink,1.536,1.305,0.231
1/13 7:04:12 AM,6,Sink 4,0.545,0.463,0.082
1/13 7:50:12 AM,18,Sink 3,0.897,0.762,0.135
1/13 7:52:12 AM,96,Sink 3,1.492,1.267,0.225
1/13 7:54:06 AM,6,Kitchen Sink,0.197,0.167,0.030
1/13 7:56:00 AM,30,Kitchen Sink,0.812,0.690,0.122
1/13 7:58:24 AM,114,Kitchen Sink,1.745,1.482,0.263
1/13 8:00:18 AM,6,Kitchen Sink,0.02,0.017,0.003
1/13 8:02:12 AM,30,Kitchen Sink,1.488,1.264,0.224
1/13 9:28:42 AM,18,Kitchen Sink,1.185,1.007,0.178
1/13 9:30:42 AM,24,Kitchen Sink,1.33,1.130,0.200
1/13 9:32:36 AM,6,Sink 4,0.277,0.235,0.042
1/13 10:02:42 AM,18,Kitchen Sink,0.053,0.045,0.008
1/13 10:04:36 AM,6,Kitchen Sink,0.328,0.279,0.049
1/13 10:06:30 AM,18,Sink 3,0.751,0.638,0.113
1/13 10:08:30 AM,72,Kitchen Sink,1.701,1.445,0.256
1/13 10:10:24 AM,18,Sink 3,0.558,0.474,0.084
